store_name,igive_url,donation_rate
Balance of Nature,https://www.iGive.com/balance-of-nature,1.6%
BALI,https://www.iGive.com/bali,0.4%
Banana Republic,https://www.iGive.com/banana-republic,1.6%
Banana Republic Canada,https://www.iGive.com/banana-republic-canada,1.6%
Banana Republic Factory,https://www.iGive.com/banana-republic-factory,1.6%
Banggood,https://www.iGive.com/banggood,2.4%
BannerBuzz,https://www.iGive.com/bannerbuzz,4.0%
BannerBuzz Canada,https://www.iGive.com/bannerbuz,4.0%
Barcelo Hotels & Resorts,https://www.iGive.com/barcelo,2.4%
Bare Necessities,https://www.iGive.com/bare-necessities,1.2%
BarkBox,https://www.iGive.com/bark-box,Special Rate
BaseballMonkey,https://www.iGive.com/baseballmonkey,0.8%
Basepaws,https://www.iGive.com/basepaws,4.0%
Bass Pro Shops,https://www.iGive.com/bass-pro-shops,2.4%
Bates Footwear,https://www.iGive.com/bates,2.8%
Be Live Hotels,https://www.iGive.com/be-live-hotels,1.8%
bealls (formerly Burkes Outlet),https://www.iGive.com/bealls,2.0%
Beats by Dre,https://www.iGive.com/beats-by-dre,0.8%
Beauty Encounter,https://www.iGive.com/beauty-encounter,2.4%
Beauty Plus Salon,https://www.iGive.com/beauty-plus-salon,2.8%
bebe,https://www.iGive.com/bebe,1.2%
Because Market,https://www.iGive.com/Because-Market,6.0%
Bed Bath & Beyond,https://www.iGive.com/bedbathandbeyond,0.8%
Beddingstyle.com,https://www.iGive.com/bedding-style,3.2%
Beer Drop,https://www.iGive.com/beer-drop,2.0%
Beldt Labs,https://www.iGive.com/beldt,14.0%
Belkin,https://www.iGive.com/belkin,2.4%
BELLA+CANVAS,https://www.iGive.com/bella-canvas,4.0%
Bellesa Boutique,https://www.iGive.com/bboutiqu,2.0%
BelleZeke,https://www.iGive.com/belle-zeke,0.8%
Belly Sleep,https://www.iGive.com/belly-sleep,2.4%
Benefit Cosmetics,https://www.iGive.com/benefit-cosmetics,1.6%
Bergdorf Goodman,https://www.iGive.com/bergdorf-goodman,1.2%
Best Bully Sticks,https://www.iGive.com/bestbullysticks,1.2%
Best Cigar Prices,https://www.iGive.com/best-cigar-prices,1.6%
Best Western,https://www.iGive.com/bestwestern,1.2%
BestBuy.com,https://www.iGive.com/best-buy,0.2%
Betsey Johnson,https://www.iGive.com/betsey-johnson,1.2%
Better Braces,https://www.iGive.com/betterbraces,1.6%
Beyond Polish,https://www.iGive.com/beyondpolish,0.8%
BFR Bands Store,https://www.iGive.com/BFR-Bands,4.0%
Big Island Coffee Roasters,https://www.iGive.com/Big-Island,0.4%
Bijoux Indiscrets,https://www.iGive.com/bijoux,4.0%
Binxy Baby,https://www.iGive.com/binxy-baby,2.8%
Bionaire,https://www.iGive.com/bionaire,2.4%
Biotherm,https://www.iGive.com/biotherm,2.4%
Biotherm Canada,https://www.iGive.com/biother,2.4%
Birthday in a Box,https://www.iGive.com/birthday-in-a-box,1.2%
Bissell,https://www.iGive.com/bissell,2.0%
BizChair,https://www.iGive.com/biz-chair,1.2%
Black Halo,https://www.iGive.com/black-halo,3.2%
Blick Art Materials,https://www.iGive.com/blick-art-materials,1.2%
Blinds.ca,https://www.iGive.com/blind,0.8%
Blinds.com,https://www.iGive.com/blinds,0.8%
Blindsaver,https://www.iGive.com/blind-saver,1.2%
Bliss,https://www.iGive.com/bliss,1.2%
Bloch Dance,https://www.iGive.com/bloch-dance,2.0%
Bloomingdale's,https://www.iGive.com/bloomingdales,0.8%
Blue Apron,https://www.iGive.com/blue-apron,6.0%
Blue Sky,https://www.iGive.com/blue-sky,1.6%
Blue Sky CBD,https://www.iGive.com/blue-sky-cbd,6.0%
Blue Sky Vitamin,https://www.iGive.com/blueskyvitamin,1.2%
Bluebird Botanicals,https://www.iGive.com/bluebird-botanicals,2.4%
Bluenotes,https://www.iGive.com/blnts,2.0%
Bluetti,https://www.iGive.com/bluetti,2.0%
Bobbi Brown Cosmetics,https://www.iGive.com/bobbi-brown,3.2%
BODi (formerly Beachbody),https://www.iGive.com/beach-body,1.6%
Bodum,https://www.iGive.com/bodum,4.0%
BodyGuardz,https://www.iGive.com/bodyguardz,1.0%
Bogs Footwear,https://www.iGive.com/bogs-footwear,2.0%
Bombinate,https://www.iGive.com/bombinate,2.8%
Bonafide,https://www.iGive.com/bonafide,4.0%
Bonobos,https://www.iGive.com/bonobos,1.2%
boohoo,https://www.iGive.com/boohoo,1.2%
Book Like a Boss,https://www.iGive.com/book-like-a-boss,14.0%
Booking.com,https://www.iGive.com/booking,1.6%
Booksamillion.com,https://www.iGive.com/books-a-million,1.2%
BoomStreet,https://www.iGive.com/boom-street,6.4%
Boscov's,https://www.iGive.com/boscovs,1.6%
Boston College University Book Store,https://www.iGive.com/bkstr,0.4%
Boston Proper,https://www.iGive.com/boston-proper,0.4%
Botanic Choice Herbs & Vitamins,https://www.iGive.com/botanic-choice,3.2%
BoxLunch,https://www.iGive.com/box-lunch,0.4%
Brain Sensei,https://www.iGive.com/brain-sensei,8.0%
BrainMD Health,https://www.iGive.com/brainmd,6.0%
Bright Local,https://www.iGive.com/brightlocal,6.0%
Brooks Brothers,https://www.iGive.com/brooks-brothers,0.8%
Brother Canada,https://www.iGive.com/brothe,1.6%
Buffalo Jackson,https://www.iGive.com/buffalo-jackson,3.2%
BuffaloJeans.com,https://www.iGive.com/buffalo-jeans,1.6%
Bullstrap,https://www.iGive.com/bullstra,4.0%
Bumble and Bumble,https://www.iGive.com/bumble-and-bumble,2.4%
Burpee Gardening,https://www.iGive.com/burpee,2.0%
BuyWake.com,https://www.iGive.com/buywake,3.6%
Cabela's,https://www.iGive.com/cabelas,0.4%
Caesars Entertainment Atlantic City,https://www.iGive.com/caesars,1.2%
Cafe Britt Gourmet Coffee,https://www.iGive.com/cafe-britt,3.2%
Caire Beauty,https://www.iGive.com/caire-beauty,4.8%
Calendars.com,https://www.iGive.com/calendars,4.0%
Callaway Golf,https://www.iGive.com/callaway-golf,3.6%
Callaway Golf Pre Owned,https://www.iGive.com/callaway-golf-pre-owned,2.4%
Calm by Wellness,https://www.iGive.com/calm-by-wellness,6.0%
Calvin Klein,https://www.iGive.com/calvin-klein,0.8%
Cambria Hotels & Suites,https://www.iGive.com/cambria,0.8%
Cameron's Seafood,https://www.iGive.com/camerons-seafood,0.8%
Cami NYC,https://www.iGive.com/cami-nyc,1.2%
Camp Chef,https://www.iGive.com/camp-chef,2.0%
Camping World,https://www.iGive.com/camping-world,0.8%
CAMPMOR,https://www.iGive.com/campmor,1.0%
Canadian Down & Feather Company,https://www.iGive.com/canadian-down,0.4%
Candlewood Suites,https://www.iGive.com/candlewood-suites,1.6%
Canon eStore,https://www.iGive.com/canon,1.0%
Canon Shop Canada,https://www.iGive.com/canon-estore-canada,1.2%
Canvas HQ,https://www.iGive.com/canvas-hq,4.0%
Canvas On Demand,https://www.iGive.com/canvas-on-demand,3.2%
Canvas Press,https://www.iGive.com/canvas-press,2.8%
Canvaspeople,https://www.iGive.com/canvas-people,3.2%
CanvasWorld,https://www.iGive.com/canvasworld,4.0%
Capitol Lighting,https://www.iGive.com/1800lighting,1.6%
