store_name,category,donation_rate,igive_url,actual_store_url
Alphamarts,"Toys, Crafts, Books & Music",2.8%,https://www.iGive.com/alphamarts,https://www.alphamarts.com
AlternaScript,General Retail & Shopping,Special Rate,https://www.iGive.com/alternascript,https://getoptimind.com
Amanda Lindroth,General Retail & Shopping,4.0%,https://www.iGive.com/amanda-lindroth,https://amandalindroth.com
Amanda Wakeley,General Retail & Shopping,2.4%,https://www.iGive.com/amandawakeley,https://www.amandawakeley.com
Amazfit,General Retail & Shopping,1.6%,https://www.iGive.com/amazfit,https://www.amazfit.com
Amazing Clubs,General Retail & Shopping,1.2%,https://www.iGive.com/amazing-clubs,https://www.amazingclubs.com
American Blinds,"Home, Garden & Appliances",0.8%,https://www.iGive.com/american-blinds,https://www.american-blinds.com
American Family Safety,General Retail & Shopping,6.0%,https://www.iGive.com/american-family,https://www.amfam.com
AMIclubwear,"Apparel, Shoes & Fashion",2.4%,https://www.iGive.com/amiclubwear,https://amiclubwear.com
Amore Beds,"Home, Garden & Appliances",0.8%,https://www.iGive.com/amorebeds,https://www.amorebeds.com
AMOREPACIFIC,General Retail & Shopping,1.2%,https://www.iGive.com/amore-pacific,https://us.amorepacific.com
Amrita Aromatherapy,General Retail & Shopping,4.0%,https://www.iGive.com/amrita,https://www.amrita.com
Amscope,General Retail & Shopping,1.6%,https://www.iGive.com/amscope,https://amscope.com
Anantara Resorts,"Travel, Hotels & Vehicles",2.0%,https://www.iGive.com/anantara,https://www.anantara.com
Ancestry.com,General Retail & Shopping,3.2%,https://www.iGive.com/ancestry,https://www.ancestry.com
AnchorFree Hotspot Shield Elite VPN,"Electronics, Software & Office",4.0%,https://www.iGive.com/AnchorFree-Hotspot-Shield-Elite-VPN,Manual Check Required
Anjay's Designs,General Retail & Shopping,1.6%,https://www.iGive.com/anjays-designs,https://www.anjaysdesigns.com
Anker,General Retail & Shopping,3.2%,https://www.iGive.com/anker,https://www.anker.com
Aquasana,General Retail & Shopping,4.0%,https://www.iGive.com/aquasana,https://www.aquasana.com
AreYouGame.com,"Toys, Crafts, Books & Music",2.8%,https://www.iGive.com/are-you-game,https://areyougame.com
Arteza,"Toys, Crafts, Books & Music",2.0%,https://www.iGive.com/arteza,https://plaidonline.com
ArtistWorks,"Toys, Crafts, Books & Music",4.0%,https://www.iGive.com/artist-works,https://artistworks.com:443
Ascend Hotels,"Travel, Hotels & Vehicles",0.8%,https://www.iGive.com/choicehotels,Manual Check Required
Ashley Furniture HomeStore,"Home, Garden & Appliances",0.4%,https://www.iGive.com/ashley-furniture,Manual Check Required
ASICS,General Retail & Shopping,1.2%,https://www.iGive.com/asics,Manual Check Required
Assouline,General Retail & Shopping,0.4%,https://www.iGive.com/assouline,https://www.assouline.com
Astound,General Retail & Shopping,Special Rate,https://www.iGive.com/residential.wavebroadband,https://www.astound.com
At Your Pace Online,General Retail & Shopping,6.0%,https://www.iGive.com/at-your-pace,https://at-your-pace.com
AT&T Internet Service Providers,General Retail & Shopping,Special Rate,https://www.iGive.com/att,https://www.att.com
Athleta,"Apparel, Shoes & Fashion",1.6%,https://www.iGive.com/athleta,https://athleta.gap.com
Athleta Canada,"Apparel, Shoes & Fashion",1.6%,https://www.iGive.com/athleta-ca,https://gcd.com
AutoNation Repair Service,"Electronics, Software & Office",Special Rate,https://www.iGive.com/repairsmith,https://www.autonationmobileservice.com
Avanse Nutraceuticals,General Retail & Shopping,8.0%,https://www.iGive.com/avanse,https://www.avanse.com
Aveda,General Retail & Shopping,0.4%,https://www.iGive.com/aveda,Manual Check Required
AVG Technologies,"Electronics, Software & Office",12.0%,https://www.iGive.com/avg,https://www.avg.com
Avon,General Retail & Shopping,0.4%,https://www.iGive.com/avon,Manual Check Required
Avoya Travel,"Travel, Hotels & Vehicles",1.2%,https://www.iGive.com/avoya,https://www.avoyatravel.com
Baby Quasar,"Health, Beauty & Personal Care",2.0%,https://www.iGive.com/babyquasar,https://quasarmd.com
Back in the Saddle,General Retail & Shopping,2.0%,https://www.iGive.com/back-in-the-saddle,https://www.backinthesaddle.com
Backcountry.com,General Retail & Shopping,1.6%,https://www.iGive.com/backcountry,Manual Check Required
BagAmour Box,General Retail & Shopping,6.0%,https://www.iGive.com/bagamour,Manual Check Required
Baggallini,General Retail & Shopping,0.4%,https://www.iGive.com/Baggalini,https://www.baggallini.com
Bahia Principe Hotels & Resorts,"Travel, Hotels & Vehicles",2.0%,https://www.iGive.com/bahia-principe,https://www.bahia-principe.com
Bake Me a Wish,General Retail & Shopping,4.0%,https://www.iGive.com/bake-me-a-wish,https://www.bakemeawish.com
Baked by Melissa,General Retail & Shopping,2.4%,https://www.iGive.com/baked-by-melissa,https://www.bakedbymelissa.com
Balance of Nature,General Retail & Shopping,1.6%,https://www.iGive.com/balance-of-nature,https://balanceofnature.com
BALI,General Retail & Shopping,0.4%,https://www.iGive.com/bali,https://bali.com
Banana Republic,"Apparel, Shoes & Fashion",1.6%,https://www.iGive.com/banana-republic,https://bananarepublic.gap.com
Banana Republic Canada,"Apparel, Shoes & Fashion",1.6%,https://www.iGive.com/banana-republic-canada,Manual Check Required
Banana Republic Factory,"Apparel, Shoes & Fashion",1.6%,https://www.iGive.com/banana-republic-factory,https://bananarepublicfactory.gapfactory.com
Banggood,General Retail & Shopping,2.4%,https://www.iGive.com/banggood,https://www.banggood.com
BannerBuzz,General Retail & Shopping,4.0%,https://www.iGive.com/bannerbuzz,https://www.bannerbuzz.com
BannerBuzz Canada,General Retail & Shopping,4.0%,https://www.iGive.com/bannerbuz,Manual Check Required
Barcelo Hotels & Resorts,"Travel, Hotels & Vehicles",2.4%,https://www.iGive.com/barcelo,https://www.barcelo.com
Bare Necessities,General Retail & Shopping,1.2%,https://www.iGive.com/bare-necessities,https://www.barenecessities.com
BarkBox,Pets & Animals,Special Rate,https://www.iGive.com/bark-box,https://bark.co
BaseballMonkey,General Retail & Shopping,0.8%,https://www.iGive.com/baseballmonkey,https://www.baseballmonkey.com
Basepaws,Pets & Animals,4.0%,https://www.iGive.com/basepaws,https://basepaws.com
Bass Pro Shops,General Retail & Shopping,2.4%,https://www.iGive.com/bass-pro-shops,Manual Check Required
Bates Footwear,"Apparel, Shoes & Fashion",2.8%,https://www.iGive.com/bates,https://www.wolverine.com
Be Live Hotels,"Travel, Hotels & Vehicles",1.8%,https://www.iGive.com/be-live-hotels,https://www.belivehotels.com
bealls (formerly Burkes Outlet),General Retail & Shopping,2.0%,https://www.iGive.com/bealls,https://www.bealls.com
