store_name,category,donation_rate,igive_url,actual_store_url
CitizenM,General Retail & Shopping,2.4%,https://www.iGive.com/citizen-m,https://www.marriott.com
Clark's Botanicals,"Health, Beauty & Personal Care",10.8%,https://www.iGive.com/clarks-botanicals,https://clarksbotanicals.com
Clarks,General Retail & Shopping,1.6%,https://www.iGive.com/clarks,https://www.clarks.com
Clinique Online,General Retail & Shopping,1.6%,https://www.iGive.com/clinique,Manual Check Required
COACH,General Retail & Shopping,0.8%,https://www.iGive.com/coach,Manual Check Required
CocoaVia,General Retail & Shopping,3.2%,https://www.iGive.com/cocoavia,https://www.cocoavia.com
Cocoon by Sealy,General Retail & Shopping,2.8%,https://www.iGive.com/Cocoon-by-Sealy,https://www.cocoonbysealy.com
Coffee.org,"Food, Wine & Gifts",2.4%,https://www.iGive.com/coffee,https://coffee.org
Cole Haan,General Retail & Shopping,0.8%,https://www.iGive.com/colehaan,https://www.colehaan.com
Colorful Images,General Retail & Shopping,1.2%,https://www.iGive.com/colorful-images,https://www.colorfulimages.com
Columbia Sportswear,"Apparel, Shoes & Fashion",2.0%,https://www.iGive.com/columbia,https://www.columbia.com
Concealment Express,"Sports, Outdoors & Fitness",3.0%,https://www.iGive.com/concealment-express,https://www.roundedgear.com
Conn's HomePlus,"Home, Garden & Appliances",1.6%,https://www.iGive.com/conns,Manual Check Required
Conrad,"Travel, Hotels & Vehicles",0.4%,https://www.iGive.com/conrad-hotels,https://www.conrad.com
Contiki,General Retail & Shopping,2.0%,https://www.iGive.com/contiki,https://www.contiki.com
Contorno Belts,General Retail & Shopping,12.0%,https://www.iGive.com/contorno-belts,Manual Check Required
Cookies by Design,General Retail & Shopping,2.0%,https://www.iGive.com/cookies-by-design,https://www.cookiesbydesign.com
Cooper's Cask Coffee,"Food, Wine & Gifts",4.0%,https://www.iGive.com/coopers-cask-coffee,https://www.cooperscoffeeco.com
Corel Software,"Electronics, Software & Office",4.0%,https://www.iGive.com/corel-software,Manual Check Required
Cos Bar,General Retail & Shopping,0.8%,https://www.iGive.com/cos-bar,https://cosbar.com
COSMEDIX,General Retail & Shopping,3.2%,https://www.iGive.com/cosmedix,https://www.cosmedix.com
Cotopaxi,General Retail & Shopping,2.4%,https://www.iGive.com/cotopaxi,https://www.cotopaxi.com
Country Inns & Suites By Radisson,General Retail & Shopping,2.4%,https://www.iGive.com/country-inns,Manual Check Required
Country Store Catalog,Pets & Animals,2.0%,https://www.iGive.com/countrystorecatalog,https://www.countrystorecatalog.com
Covers and All,General Retail & Shopping,0.4%,https://www.iGive.com/covers-and-all,https://www.coversandall.com
Cricut,General Retail & Shopping,1.6%,https://www.iGive.com/cricut,https://cricut.com
Crocs Canada,General Retail & Shopping,3.2%,https://www.iGive.com/croc,Manual Check Required
Crocs.com,General Retail & Shopping,1.6%,https://www.iGive.com/crocs,Manual Check Required
Crowne Plaza,General Retail & Shopping,1.6%,https://www.iGive.com/crowne-plaza,Manual Check Required
CruiseDirect,"Travel, Hotels & Vehicles",1.2%,https://www.iGive.com/cruise-direct,https://www.cruisedirect.com
Crutchfield.com,General Retail & Shopping,2.2%,https://www.iGive.com/crutchfield,https://www.crutchfield.com
Crystal Plus,General Retail & Shopping,3.2%,https://www.iGive.com/crystal-plus,https://www.crystalplus.com
Cub Cadet,"Home, Garden & Appliances",1.6%,https://www.iGive.com/cub-cadet,https://www.cubcadet.com
Cupshe,General Retail & Shopping,0.8%,https://www.iGive.com/cupshe,https://www.cupshe.com
Current Catalog,Pets & Animals,1.2%,https://www.iGive.com/current-catalog,https://www.currentcatalog.com
Cutter & Buck,General Retail & Shopping,2.0%,https://www.iGive.com/cutter-buck,https://cutterbuck.com
CVS.com,General Retail & Shopping,0.8%,https://www.iGive.com/cvs,https://www.cvs.com
CyberLink,"Electronics, Software & Office",0.4%,https://www.iGive.com/cyberlink,https://www.cyberlink.com
Cylance,General Retail & Shopping,12.0%,https://www.iGive.com/cylance,https://arcticwolf.com
D'Artagnan,"Toys, Crafts, Books & Music",0.4%,https://www.iGive.com/dartagnan,https://www.dartagnan.com
Daily Sale,General Retail & Shopping,2.0%,https://www.iGive.com/daily-sale,https://dailysale.com
Dailygreatness,General Retail & Shopping,4.0%,https://www.iGive.com/dailygreatnes,https://www.dailygreatness.com
DailySteals,"Food, Wine & Gifts",1.2%,https://www.iGive.com/daily-steals,https://dailysteals.com
Dana Rebecca Designs,General Retail & Shopping,0.8%,https://www.iGive.com/dana-rebecca,https://www.danarebeccadesigns.com
Darn Tough,General Retail & Shopping,0.3%,https://www.iGive.com/darn-tough,https://darntough.com
Darphin Paris,General Retail & Shopping,2.4%,https://www.iGive.com/darphin,Manual Check Required
David's Cookies,General Retail & Shopping,2.4%,https://www.iGive.com/davids-cookies,https://davidscookies.com
DAVIDsTEA,"Food, Wine & Gifts",0.8%,https://www.iGive.com/davidstea,https://davidstea.com
DC Shoes,"Apparel, Shoes & Fashion",1.2%,https://www.iGive.com/dc-shoes,https://www.dcshoes.com
Dearfoams,General Retail & Shopping,0.4%,https://www.iGive.com/dearfoams,https://www.dearfoams.com
DeBragga,"Apparel, Shoes & Fashion",1.2%,https://www.iGive.com/debragga,https://www.debragga.com
Decadent Minimalist,General Retail & Shopping,4.0%,https://www.iGive.com/decadent-minimalist,https://decadentminimalist.com
DeepDiscount.com,General Retail & Shopping,1.6%,https://www.iGive.com/deep-discount,Manual Check Required
Dell Home & Home Office,"Electronics, Software & Office",1.6%,https://www.iGive.com/deals.dell,Manual Check Required
Dell Refurbished Computers,"Electronics, Software & Office",2.0%,https://www.iGive.com/dell-refurbished,Manual Check Required
Dell Technologies,"Electronics, Software & Office",1.6%,https://www.iGive.com/dell,Manual Check Required
Demdaco,General Retail & Shopping,2.0%,https://www.iGive.com/demdaco,https://www.demdaco.com
Denby Pottery,General Retail & Shopping,1.2%,https://www.iGive.com/denby,https://www.denby.com
Derma E,"Health, Beauty & Personal Care",2.0%,https://www.iGive.com/derma-e,https://dermae.com
Dermalogica,"Health, Beauty & Personal Care",2.0%,https://www.iGive.com/dermalogica,https://www.dermalogica.com
Design By Humans,General Retail & Shopping,1.2%,https://www.iGive.com/design-by-humans,Manual Check Required
Design Furnishings,General Retail & Shopping,2.0%,https://www.iGive.com/design-furnishings,https://www.design-furnishings.com
Design It Yourself Gift Baskets,"Food, Wine & Gifts",4.0%,https://www.iGive.com/design-it-yourself,https://www.design-it-yourself.com
Designer Optics,"Health, Beauty & Personal Care",3.2%,https://www.iGive.com/designer-optics,https://designeroptics.com
Designtly.com,General Retail & Shopping,2.0%,https://www.iGive.com/designtly,https://designtly.com
DestinationXL,General Retail & Shopping,0.8%,https://www.iGive.com/destination-xl,https://www.destination-xl.com
Detox Organics,General Retail & Shopping,4.0%,https://www.iGive.com/detox-organics,https://detoxorganics.com
DHgate,General Retail & Shopping,0.8%,https://www.iGive.com/dhgate,Manual Check Required
Di Bruno Bros.,"Sports, Outdoors & Fitness",2.0%,https://www.iGive.com/di-bruno-bros,Manual Check Required
Diane von Furstenberg,General Retail & Shopping,2.4%,https://www.iGive.com/dvf,https://www.dvf.com
Dick's Sporting Goods,General Retail & Shopping,0.8%,https://www.iGive.com/dicks-sporting,https://www.dickssportinggoods.com
Diesel US,General Retail & Shopping,2.0%,https://www.iGive.com/diesel,https://diesel.com
Diet Direct,General Retail & Shopping,2.4%,https://www.iGive.com/diet-direct,https://www.dietdirect.com
Dinnerly,General Retail & Shopping,Special Rate,https://www.iGive.com/dinnerly,https://dinnerly.com
DIRECTV,General Retail & Shopping,Special Rate,https://www.iGive.com/directv,Manual Check Required
Discount School Supply,General Retail & Shopping,0.8%,https://www.iGive.com/discount-school-supply,https://www.discountschoolsupply.com
DiscountContactLenses,"Health, Beauty & Personal Care",0.4%,https://www.iGive.com/discount-contact-lenses,https://www.discountcontacts.com
DiscountFilterStore.com,General Retail & Shopping,1.2%,https://www.iGive.com/discount-filter-store,https://www.discountfilterstore.com
DiscountMags.com,General Retail & Shopping,2.0%,https://www.iGive.com/discount-mags,https://www.discountmags.com
DiscountMugs,General Retail & Shopping,1.2%,https://www.iGive.com/discount-mugs,https://www.discountmugs.com
Disney Movie Club,General Retail & Shopping,Special Rate,https://www.iGive.com/disney-movie-club,https://movies.disney.com
Disney Store,General Retail & Shopping,0.8%,https://www.iGive.com/disney-store,https://www.disneystore.com
Dollar Tree,"Toys, Crafts, Books & Music",1.6%,https://www.iGive.com/dollartree,Manual Check Required
DollarDays,General Retail & Shopping,1.2%,https://www.iGive.com/dollar-days,Manual Check Required
Dooney & Bourke,General Retail & Shopping,2.0%,https://www.iGive.com/dooney,https://www.dooney.com
Dr. Brandt Skincare,"Apparel, Shoes & Fashion",0.8%,https://www.iGive.com/dr-brandt-skincare,https://www.drbrandtskincare.com
Dr. Fuhrman,General Retail & Shopping,4.0%,https://www.iGive.com/dr-fuhrman,https://www.drfuhrman.com
Dr. Kellyann,General Retail & Shopping,6.0%,https://www.iGive.com/dr-kellyann,https://drkellyann.com
Dr. Scholl's Shoes,"Apparel, Shoes & Fashion",4.8%,https://www.iGive.com/dr-scholls-shoes,https://www.drschollsshoes.com
Draper's & Damon's,General Retail & Shopping,0.4%,https://www.iGive.com/drapers,Manual Check Required
Driftaway Coffee,"Food, Wine & Gifts",1.6%,https://www.iGive.com/driftaway-coffee,https://store.driftaway.coffee
DTLR,General Retail & Shopping,1.2%,https://www.iGive.com/dtlr,https://www.dtlr.com
Duradry,General Retail & Shopping,2.0%,https://www.iGive.com/duradry,https://duradry.com
Durango Boots,"Apparel, Shoes & Fashion",4.0%,https://www.iGive.com/durango-boots,https://durangoboots.com
Dusit Hotels & Resorts + ASAI Hotels,"Travel, Hotels & Vehicles",1.6%,https://www.iGive.com/dusit,https://www.dusit.com
DX,General Retail & Shopping,2.0%,https://www.iGive.com/dx,https://mediaoptions.com
Dylan's Candy Bar,"Food, Wine & Gifts",2.4%,https://www.iGive.com/dylans-candy-bar,https://www.dylanscandybar.com
e.l.f. (Eyes Lips Face),General Retail & Shopping,2.8%,https://www.iGive.com/elf,https://elf.com
Eagle Creek,General Retail & Shopping,4.8%,https://www.iGive.com/eaglecreek,https://eaglecreek.com
Eastern Mountain Sports,"Sports, Outdoors & Fitness",2.0%,https://www.iGive.com/eastern-mountain-sports,https://www.ems.com
Easy Spirit,General Retail & Shopping,0.8%,https://www.iGive.com/easy-spirit,https://easyspirit.com
EasyGarage,General Retail & Shopping,0.8%,https://www.iGive.com/easygarage,Manual Check Required
Eatwith,General Retail & Shopping,2.0%,https://www.iGive.com/eatwith,https://www.eatwith.com
eCampus,General Retail & Shopping,2.0%,https://www.iGive.com/ecampus,https://www.ecampus.com
Ecosa,General Retail & Shopping,0.8%,https://www.iGive.com/ecosa,https://www.ecosa.com
Ecowise Wellnes,"Health, Beauty & Personal Care",10.0%,https://www.iGive.com/ecowisevitamins,https://ecowisevitamins.com
Eddie Bauer,General Retail & Shopping,1.6%,https://www.iGive.com/Eddie-Bauer,https://www.eddiebauer.com
Edureka,General Retail & Shopping,6.0%,https://www.iGive.com/edurek,https://www.edurek.com
edX,General Retail & Shopping,3.2%,https://www.iGive.com/edX,https://www.edx.com
Effy Jewelry,"Apparel, Shoes & Fashion",1.2%,https://www.iGive.com/effyjewelry,https://www.effyjewelry.com
Ego Home,"Home, Garden & Appliances",4.0%,https://www.iGive.com/egohome,https://egohome.com
eharmony,General Retail & Shopping,16.0%,https://www.iGive.com/eharmony,https://www.eharmony.com
Eileen Fisher,Pets & Animals,1.6%,https://www.iGive.com/eileen-fisher,Manual Check Required
ejuice.deals,General Retail & Shopping,2.0%,https://www.iGive.com/ejuice,https://www.ejuice.com
Ekrin Athletics,"Sports, Outdoors & Fitness",4.0%,https://www.iGive.com/Ekrin,https://www.ekrin.com
Electrical Wholesalers,General Retail & Shopping,1.6%,https://www.iGive.com/electrical-wholesalers,https://www.electricalwholesalers.com
ELEMIS,General Retail & Shopping,1.6%,https://www.iGive.com/elemis,https://elemis.com
Elixinol,General Retail & Shopping,1.2%,https://www.iGive.com/elixinol,https://elixinol.com
Elizabeth Arden,General Retail & Shopping,2.8%,https://www.iGive.com/elizabetharden,https://www.elizabetharden.com
ELOQUII,General Retail & Shopping,1.6%,https://www.iGive.com/eloquii,Manual Check Required
eManual Online,General Retail & Shopping,6.0%,https://www.iGive.com/emanual,https://emanual.com
Embark Vet,Pets & Animals,4.0%,https://www.iGive.com/embark,https://www.embark.com
Embassy Suites,General Retail & Shopping,0.4%,https://www.iGive.com/embassy-suites,Manual Check Required
Emedco,General Retail & Shopping,4.0%,https://www.iGive.com/emedco,https://www.emedco.com
Emjay,General Retail & Shopping,2.4%,https://www.iGive.com/emjay,Manual Check Required
EnergyFirst,General Retail & Shopping,0.4%,https://www.iGive.com/energyfirst,https://www.energyfirst.com
Enjoy Flowers,"Food, Wine & Gifts",Special Rate,https://www.iGive.com/enjoy-flowers,https://enjoyflowers.com
Enterprise Rent-A-Car,"Travel, Hotels & Vehicles",0.8%,https://www.iGive.com/enterprise,Manual Check Required
Entertainment Books,"Toys, Crafts, Books & Music",11.2%,https://www.iGive.com/entertainment,https://www.entertainment.com
Entertainment Earth,"Food, Wine & Gifts",2.0%,https://www.iGive.com/entertainment-earth,https://www.entertainmentearth.com
Entirely Pets,Pets & Animals,2.4%,https://www.iGive.com/entirely-pets,https://www.entirelypets.com
Epson,General Retail & Shopping,0.8%,https://www.iGive.com/epson,https://epson.com
ePumps,General Retail & Shopping,1.2%,https://www.iGive.com/epumps,https://www.epumps.com
Equestrian Collections,General Retail & Shopping,2.8%,https://www.iGive.com/equestrian-collections,https://www.equestriancollections.com
Erno Laszlo,General Retail & Shopping,3.2%,https://www.iGive.com/erno-laszlo,https://ernolaszlo.com
ESET,General Retail & Shopping,8.0%,https://www.iGive.com/store.eset,https://www.eset.com
eSmartTax,"Toys, Crafts, Books & Music",2.0%,https://www.iGive.com/esmart-tax,Manual Check Required
EssayEdge,General Retail & Shopping,2.0%,https://www.iGive.com/essay-edge,https://www.essayedge.com
Estee Lauder,General Retail & Shopping,1.6%,https://www.iGive.com/estee-lauder,Manual Check Required
Esurance,General Retail & Shopping,Special Rate,https://www.iGive.com/esurance,Manual Check Required
Ethel M Chocolate,"Food, Wine & Gifts",1.2%,https://www.iGive.com/ethel-m,Manual Check Required
Ettika,General Retail & Shopping,2.4%,https://www.iGive.com/ettika,https://www.ettika.com
Ettitude,General Retail & Shopping,1.6%,https://www.iGive.com/ettitude,https://www.ettitude.com
Eufy,General Retail & Shopping,2.8%,https://www.iGive.com/eufy,https://www.eufy.com
Europcar,"Travel, Hotels & Vehicles",2.8%,https://www.iGive.com/europcar,https://www.europcar.com
Even Hotels,"Travel, Hotels & Vehicles",1.6%,https://www.iGive.com/even-hotels,Manual Check Required
EveryPlate,General Retail & Shopping,Special Rate,https://www.iGive.com/everyplate,https://www.everyplate.com
Expedia.ca,General Retail & Shopping,0.8%,https://www.iGive.com/expedi,https://www.expediaca.com
Expedia.com,General Retail & Shopping,0.8%,https://www.iGive.com/expedia,Manual Check Required
Extended Stay America,General Retail & Shopping,1.2%,https://www.iGive.com/extended-stay,Manual Check Required
Eyeconic,General Retail & Shopping,1.2%,https://www.iGive.com/eyeconic,https://www.eyeconic.com
Eyeglasses.com,General Retail & Shopping,2.4%,https://www.iGive.com/eyeglasses,https://www.eyeglasses.com
EZ Lifestyle,"Apparel, Shoes & Fashion",12.0%,https://www.iGive.com/ez-lifestyle,https://www.ezlifestyle.com
Fabletics,General Retail & Shopping,Special Rate,https://www.iGive.com/fabletics,https://www.fabletics.com
Fairmont Hotels & Resorts,"Travel, Hotels & Vehicles",2.0%,https://www.iGive.com/fairmont,https://www.fairmont.com
Fairway Golf,"Sports, Outdoors & Fitness",2.4%,https://www.iGive.com/fairway-golf,https://fairwaygolfusa.shop
Famous Footwear,"Apparel, Shoes & Fashion",0.4%,https://www.iGive.com/famous-footwear,https://www.famousfootwear.com
Fanatics,General Retail & Shopping,0.8%,https://www.iGive.com/fanatics,Manual Check Required
Fancy Sprinkles,"Electronics, Software & Office",2.0%,https://www.iGive.com/fancysprinkles,https://www.fancysprinkles.com
Fare Buzz,General Retail & Shopping,Special Rate,https://www.iGive.com/fare-buzz,Manual Check Required
FARFETCH,General Retail & Shopping,1.6%,https://www.iGive.com/farfetch,Manual Check Required
Farmhouse Fresh,General Retail & Shopping,4.0%,https://www.iGive.com/farmhouse-fresh,https://www.farmhousefresh.com
Fathead,General Retail & Shopping,1.2%,https://www.iGive.com/Fathead,https://fathead.com
Faux Wood Beams,General Retail & Shopping,1.2%,https://www.iGive.com/faux-wood-beams,https://www.barrondesigns.com
FauxPanels,General Retail & Shopping,1.2%,https://www.iGive.com/fauxpanels,https://www.barrondesigns.com
FaxitFast,General Retail & Shopping,Special Rate,https://www.iGive.com/fax-it-fast,https://www.faxitfast.com
Faxon,General Retail & Shopping,2.8%,https://www.iGive.com/faxon,Manual Check Required
FedEx Office,"Electronics, Software & Office",1.2%,https://www.iGive.com/Fedex-office,Manual Check Required
Felt Paper Scissors,"Electronics, Software & Office",2.0%,https://www.iGive.com/felt-paper-scissors,https://feltpaperscissors.com
Fiber Cables Direct,General Retail & Shopping,2.4%,https://www.iGive.com/fcd,https://www.atom.com
Fidelity Denim,General Retail & Shopping,4.0%,https://www.iGive.com/fidelity-denim,https://fidelitydenim.com
FiltersFast,General Retail & Shopping,0.4%,https://www.iGive.com/filters-fast,https://www.filtersfast.com
Findmypast,General Retail & Shopping,4.0%,https://www.iGive.com/find-my-past,https://www.findmypast.com
FineJewelers,General Retail & Shopping,2.0%,https://www.iGive.com/finejewelers,Manual Check Required
FineStationery,"Electronics, Software & Office",1.2%,https://www.iGive.com/fine-stationery,https://www.finestationery.com
Finish Line,General Retail & Shopping,2.0%,https://www.iGive.com/finish-line,https://www.finish-line.com
Finish Line - Student Exclusive,General Retail & Shopping,Special Rate,https://www.iGive.com/studentbeans,https://www.studentbeans.com
Fishwest,Pets & Animals,3.2%,https://www.iGive.com/fishwest,https://fishwest.com
FitFlop,General Retail & Shopping,4.0%,https://www.iGive.com/fit-flop,https://www.fitflop.com
Fiverr,General Retail & Shopping,Special Rate,https://www.iGive.com/fiverr,Manual Check Required
Fleet Feet,General Retail & Shopping,0.4%,https://www.iGive.com/fleet-feet,https://www.fleetfeet.com
Florsheim,General Retail & Shopping,0.8%,https://www.iGive.com/florsheim,https://www.florsheim.com
Florsheim Canada,General Retail & Shopping,2.0%,https://www.iGive.com/florsheim-canada,Manual Check Required
Flower Shopping,"Food, Wine & Gifts",0.4%,https://www.iGive.com/flower-shopping,https://www.flowershopping.com
Flowers Fast,"Food, Wine & Gifts",8.0%,https://www.iGive.com/flowers-fast,Manual Check Required
Fluz,General Retail & Shopping,Special Rate,https://www.iGive.com/fluz,Manual Check Required
Flyby,General Retail & Shopping,4.0%,https://www.iGive.com/flyb,https://www.atom.com
Flying Noodle,General Retail & Shopping,1.2%,https://www.iGive.com/flying-noodle,https://www.flyingnoodle.com
Food Lion,"Food, Wine & Gifts",Special Rate,https://www.iGive.com/food-lion,https://www.food-lion.com
Footlocker.com,General Retail & Shopping,1.6%,https://www.iGive.com/footlocker,https://www.footlockercom.com
Forbes & Lewis,General Retail & Shopping,4.0%,https://www.iGive.com/forbes-lewis,https://www.forbes-lewis.com
FOREO,General Retail & Shopping,1.4%,https://www.iGive.com/foreo,https://www.foreo.com
Fotolia,General Retail & Shopping,Special Rate,https://www.iGive.com/fotolia,https://stock.adobe.com
FragranceNet,"Health, Beauty & Personal Care",0.4%,https://www.iGive.com/fragrance,https://www.fragrancenet.com
FragranceX,"Health, Beauty & Personal Care",2.0%,https://www.iGive.com/Fragrance-X,https://www.fragrancex.com
Framebridge,"Home, Garden & Appliances",1.6%,https://www.iGive.com/framebridge,https://www.framebridge.com
FramesDirect.com,"Home, Garden & Appliances",0.8%,https://www.iGive.com/frames-direct,https://www.frames-direct.com
francesca's,General Retail & Shopping,1.6%,https://www.iGive.com/francescas,https://francescas.com
Franco Sarto,"Toys, Crafts, Books & Music",1.2%,https://www.iGive.com/franco-sarto,Manual Check Required
FranklinPlanner,General Retail & Shopping,2.4%,https://www.iGive.com/franklinplanner,https://store.franklinplanner.com
Fred Meyer Jewelers,General Retail & Shopping,6.0%,https://www.iGive.com/fred-meyer-jewelers,Manual Check Required
Free Logo Services,General Retail & Shopping,6.0%,https://www.iGive.com/free-logo-services,https://www.freelogoservices.com
French Connection,General Retail & Shopping,2.0%,https://www.iGive.com/french-connection,https://www.frenchconnection.com
French Toast,General Retail & Shopping,2.0%,https://www.iGive.com/french-toast,https://www.frenchtoast.com
From You Flowers,"Food, Wine & Gifts",6.0%,https://www.iGive.com/from-you-flowers,https://www.fromyouflowers.com
Fruit Bouquets by 1800Flowers.com,"Food, Wine & Gifts",2.4%,https://www.iGive.com/fruit-bouquets,https://www.fruitbouquets.com
FTD,General Retail & Shopping,2.0%,https://www.iGive.com/ftd,https://www.ftd.com
FUL,General Retail & Shopping,0.4%,https://www.iGive.com/ful,https://ful.com
Furbo Dog Camera,Pets & Animals,4.0%,https://www.iGive.com/furbo,https://furbo.com
Fuse Lenses,"Health, Beauty & Personal Care",1.2%,https://www.iGive.com/fuse-lenses,https://fuselenses.com
Fyt,General Retail & Shopping,Special Rate,https://www.iGive.com/find-your-trainer,https://findyourtrainer.com:443
Gaby's Bags,General Retail & Shopping,2.0%,https://www.iGive.com/gabys-bags,https://gabysbags.com
Gaffos,General Retail & Shopping,2.0%,https://www.iGive.com/gaffos,https://gaffos.com
Gainful,General Retail & Shopping,2.4%,https://www.iGive.com/gainful,https://www.gainful.com
Gallery Direct,General Retail & Shopping,2.0%,https://www.iGive.com/gallery-direct,https://www.gallerydirect.com
GameFly,"Toys, Crafts, Books & Music",2.0%,https://www.iGive.com/game-fly,https://www.gamefly.com
GamersGate.com,"Toys, Crafts, Books & Music",2.0%,https://www.iGive.com/gamers-gate,https://www.gamersgate.com
Gap Canada,"Apparel, Shoes & Fashion",1.6%,https://www.iGive.com/Gap-Canada,https://www.gapcanada.ca
Gap Factory,"Apparel, Shoes & Fashion",1.6%,https://www.iGive.com/gap-factory,https://www.gapfactory.com
Gap.com,"Apparel, Shoes & Fashion",1.6%,https://www.iGive.com/gap,https://www.gap.com
Gardyn,General Retail & Shopping,1.6%,https://www.iGive.com/gardyn,https://www.gardyn.com
GDF Studio,General Retail & Shopping,2.0%,https://www.iGive.com/gdf-studio,https://gdfstudio.com
Geekbuying,General Retail & Shopping,2.4%,https://www.iGive.com/geekbuying,https://www.geekbuying.com
GelPro,General Retail & Shopping,2.0%,https://www.iGive.com/gelpro,https://www.gelpro.com
Gem-Water,General Retail & Shopping,4.0%,https://www.iGive.com/gem-water,https://www.gemwater.com
Genuine Factory Parts,"Travel, Hotels & Vehicles",1.6%,https://www.iGive.com/mtd-parts,https://www.genuinefactoryparts.com
Georgia Boot,General Retail & Shopping,4.0%,https://www.iGive.com/georgia-boot,https://georgiaboot.com
German Food Box,"Food, Wine & Gifts",Special Rate,https://www.iGive.com/german-food-box,https://germanfoodbox.com
German Slippers,General Retail & Shopping,4.0%,https://www.iGive.com/german-slippers,https://www.germanslippers.com
GetSmarter,"Toys, Crafts, Books & Music",1.6%,https://www.iGive.com/get-smarter,https://www.getsmarter.com
Getz's,General Retail & Shopping,3.2%,https://www.iGive.com/getzs,https://getzs.com
Giant Food,"Food, Wine & Gifts",Special Rate,https://www.iGive.com/giantfood,Manual Check Required
GiftCards,"Travel, Hotels & Vehicles",0.4%,https://www.iGive.com/gift-cards,https://www.giftcards.com
GiftsForYouNow,"Food, Wine & Gifts",5.2%,https://www.iGive.com/gifts-for-you-now,https://www.giftsforyounow.com
Gigi New York,General Retail & Shopping,3.6%,https://www.iGive.com/gigi-ny,https://www.giginewyork.com
Gilt,General Retail & Shopping,1.2%,https://www.iGive.com/gilt,Manual Check Required
Gilt City,General Retail & Shopping,1.2%,https://www.iGive.com/gilt-city,Manual Check Required
GlassesShop,General Retail & Shopping,4.8%,https://www.iGive.com/GlassesShop,https://www.glassesshop.com
GlassesUSA,General Retail & Shopping,1.0%,https://www.iGive.com/glasses-usa,https://www.glassesusa.com
GlobeIn,General Retail & Shopping,8.0%,https://www.iGive.com/globein,https://globein.com:443
Glow Recipe,General Retail & Shopping,2.8%,https://www.iGive.com/glow-recipe,https://www.glowrecipe.com
GNC,General Retail & Shopping,0.4%,https://www.iGive.com/gnc,https://www.gnc.com
Go City,General Retail & Shopping,1.2%,https://www.iGive.com/gocity,https://gocity.com
Go Daddy,General Retail & Shopping,2.0%,https://www.iGive.com/go-daddy,Manual Check Required
Goal Zero,General Retail & Shopping,2.0%,https://www.iGive.com/goal-zero,https://goalzero.com
GoalieMonkey,General Retail & Shopping,0.8%,https://www.iGive.com/goaliemonkey,https://www.goaliemonkey.com
Godiva Chocolatier,General Retail & Shopping,0.4%,https://www.iGive.com/godiva,https://www.godiva.com
Gold Medal Wine Club,"Apparel, Shoes & Fashion",4.0%,https://www.iGive.com/gold-medal-wine-club,https://goldmedalwineclub.com
Good Sam Roadside Assistance,General Retail & Shopping,0.8%,https://www.iGive.com/good-sam-roadside,https://roadside.goodsam.com
Good Vibrations,"Apparel, Shoes & Fashion",4.0%,https://www.iGive.com/good-vibrations,https://www.goodvibes.com
Goop,General Retail & Shopping,1.6%,https://www.iGive.com/goop,https://goop.com
GoSkills,General Retail & Shopping,4.0%,https://www.iGive.com/goskills,https://www.goskills.com
GotPrint,"Electronics, Software & Office",Special Rate,https://www.iGive.com/gotprint,https://www.gotprint.com
Gourmesso,General Retail & Shopping,4.0%,https://www.iGive.com/gourmesso,https://www.gourmesso.com
GourmetGiftBaskets.com,"Food, Wine & Gifts",2.0%,https://www.iGive.com/gourmet-gift-baskets,https://www.gourmetgiftbaskets.com
GPC Smart,"Toys, Crafts, Books & Music",4.0%,https://www.iGive.com/gpc,https://www.georgiapower.com
Grailed,General Retail & Shopping,0.4%,https://www.iGive.com/grailed,https://www.grailed.com
Grande Cosmetics,"Health, Beauty & Personal Care",2.0%,https://www.iGive.com/grande-cosmetics,https://grandecosmetics.com
Grassland Beef,General Retail & Shopping,1.2%,https://www.iGive.com/grassland-beef,https://grasslandbeef.com
GreaterGood Stores,General Retail & Shopping,0.8%,https://www.iGive.com/greatergood,https://greatergood.com
Green Chef,General Retail & Shopping,Special Rate,https://www.iGive.com/chef.greenchef,https://www.greenchef.com
Green Man Gaming,General Retail & Shopping,0.8%,https://www.iGive.com/green-man-gaming,https://www.greenmangaming.com
GreenPan,General Retail & Shopping,1.2%,https://www.iGive.com/greenpa,https://www.greenpa.com
Groundlink,"Electronics, Software & Office",0.4%,https://www.iGive.com/groundlink,Manual Check Required
Groupon,General Retail & Shopping,0.4%,https://www.iGive.com/groupon,https://www.groupon.com
Grove Collaborative,General Retail & Shopping,2.0%,https://www.iGive.com/grov,https://www.grove.co
Grow Gorgeous,General Retail & Shopping,2.4%,https://www.iGive.com/grow-gorgeous,https://www.dermstore.com
Gthic.com,General Retail & Shopping,4.8%,https://www.iGive.com/gthic,https://gthic.com
GUESS.com,General Retail & Shopping,1.6%,https://www.iGive.com/shop.guess,https://www.guess.com
Guild Wars 2,General Retail & Shopping,4.0%,https://www.iGive.com/buy.guildwars2,Manual Check Required
H&R Block,General Retail & Shopping,0.4%,https://www.iGive.com/hr-block,Manual Check Required
H10 Hotels,"Travel, Hotels & Vehicles",1.6%,https://www.iGive.com/H10 Hotels,https://www.h10hotels.com
Haggar,General Retail & Shopping,2.0%,https://www.iGive.com/haggar,https://www.haggar.com
Hallelujah Diet,General Retail & Shopping,6.0%,https://www.iGive.com/hallelujah-diet,https://myhdiet.com
