store_name,igive_url,donation_rate,actual_store_url
Anker,https://www.iGive.com/anker,3.2%,https://www.anker.com
Aquasana,https://www.iGive.com/aquasana,4.0%,https://www.aquasana.com
AreYouGame.com,https://www.iGive.com/are-you-game,2.8%,https://areyougame.com
Arteza,https://www.iGive.com/arteza,2.0%,https://plaidonline.com
ArtistWorks,https://www.iGive.com/artist-works,4.0%,https://artistworks.com:443
Ascend Hotels,https://www.iGive.com/choicehotels,0.8%,Manual Check Required
Ashley Furniture HomeStore,https://www.iGive.com/ashley-furniture,0.4%,Manual Check Required
ASICS,https://www.iGive.com/asics,1.2%,Manual Check Required
Assouline,https://www.iGive.com/assouline,0.4%,https://www.assouline.com
Astound,https://www.iGive.com/residential.wavebroadband,Special Rate,https://www.astound.com
At Your Pace Online,https://www.iGive.com/at-your-pace,6.0%,https://at-your-pace.com
AT&T Internet Service Providers,https://www.iGive.com/att,Special Rate,https://www.att.com
Athleta,https://www.iGive.com/athleta,1.6%,https://athleta.gap.com
Athleta Canada,https://www.iGive.com/athleta-ca,1.6%,https://gcd.com
AutoNation Repair Service,https://www.iGive.com/repairsmith,Special Rate,https://www.autonationmobileservice.com
Avanse Nutraceuticals,https://www.iGive.com/avanse,8.0%,https://www.avanse.com
Aveda,https://www.iGive.com/aveda,0.4%,Manual Check Required
AVG Technologies,https://www.iGive.com/avg,12.0%,https://www.avg.com
Avon,https://www.iGive.com/avon,0.4%,Manual Check Required
Avoya Travel,https://www.iGive.com/avoya,1.2%,https://www.avoyatravel.com
Baby Quasar,https://www.iGive.com/babyquasar,2.0%,https://quasarmd.com
Back in the Saddle,https://www.iGive.com/back-in-the-saddle,2.0%,https://www.backinthesaddle.com
Backcountry.com,https://www.iGive.com/backcountry,1.6%,Manual Check Required
BagAmour Box,https://www.iGive.com/bagamour,6.0%,Manual Check Required
Baggallini,https://www.iGive.com/Baggalini,0.4%,https://www.baggallini.com
Bahia Principe Hotels & Resorts,https://www.iGive.com/bahia-principe,2.0%,https://www.bahia-principe.com
Bake Me a Wish,https://www.iGive.com/bake-me-a-wish,4.0%,https://www.bakemeawish.com
Baked by Melissa,https://www.iGive.com/baked-by-melissa,2.4%,https://www.bakedbymelissa.com
Balance of Nature,https://www.iGive.com/balance-of-nature,1.6%,https://balanceofnature.com
BALI,https://www.iGive.com/bali,0.4%,https://bali.com
Banana Republic,https://www.iGive.com/banana-republic,1.6%,https://bananarepublic.gap.com
Banana Republic Canada,https://www.iGive.com/banana-republic-canada,1.6%,Manual Check Required
Banana Republic Factory,https://www.iGive.com/banana-republic-factory,1.6%,https://bananarepublicfactory.gapfactory.com
Banggood,https://www.iGive.com/banggood,2.4%,https://www.banggood.com
BannerBuzz,https://www.iGive.com/bannerbuzz,4.0%,https://www.bannerbuzz.com
BannerBuzz Canada,https://www.iGive.com/bannerbuz,4.0%,Manual Check Required
Barcelo Hotels & Resorts,https://www.iGive.com/barcelo,2.4%,https://www.barcelo.com
Bare Necessities,https://www.iGive.com/bare-necessities,1.2%,https://www.barenecessities.com
BarkBox,https://www.iGive.com/bark-box,Special Rate,https://bark.co
BaseballMonkey,https://www.iGive.com/baseballmonkey,0.8%,https://www.baseballmonkey.com
Basepaws,https://www.iGive.com/basepaws,4.0%,https://basepaws.com
Bass Pro Shops,https://www.iGive.com/bass-pro-shops,2.4%,Manual Check Required
Bates Footwear,https://www.iGive.com/bates,2.8%,https://www.wolverine.com
Be Live Hotels,https://www.iGive.com/be-live-hotels,1.8%,https://www.belivehotels.com
bealls (formerly Burkes Outlet),https://www.iGive.com/bealls,2.0%,https://www.bealls.com
Beats by Dre,https://www.iGive.com/beats-by-dre,0.8%,https://www.beatsbydre.com
